# UTF-8；两列用 TAB 分隔，列内用 | 分隔。左列是触发说法，右列是检索相关词（并非严格同义词）。
# 按文件顺序扩展，最多增加 12 个词；修改后重启，查询与文档索引会使用同一份词典。
粘人|太粘|太黏|黏人|黏着我|粘着我|天天黏着|天天粘着|没有自己的时间|一点自己的时间都没有	个人空间|边界感|联系频率
冷战|不理我|谁也不理谁|谁都不理谁|不肯低头	冷战|沟通|修复
表白|告白|怎么跟喜欢的人说|想告诉她我喜欢她|想告诉他我喜欢他	表白|告白|真诚
被拒绝|被拒了|没答应我|下次吧	拒绝|朋友|体面收尾
异地|不在一个城市|不在同一个城市|隔着屏幕谈恋爱|见不到面	异地恋|见面|联系时间
暧昧|搞暧昧|算不算在一起	暧昧|确认关系|边界
吃醋|和别的女生走得近|和别的男生走得近	吃醋|异性朋友|安全感
吵架|吵了一架|吵起来了|翻旧账	吵架|沟通|道歉|修复
分手|不想谈了|不想继续了|想结束这段关系	分手|结束关系|体面
回复慢|回消息很慢|不回消息|半天不回|消息不回|已读不回	回复消息|联系频率|沟通节奏
毕业|毕业后去哪|去不同的城市	未来规划|城市|异地
查手机|翻我手机|翻我的手机|要我的密码|看聊天记录	手机密码|聊天记录|隐私|边界
查岗|盯着我的位置|逼我开定位|实时定位	实时定位|边界|信任
总让我买单|老让我买单|花钱大手大脚|花钱观念不一样	消费观念|预算|消费
光讲道理|只会讲道理|想找人听我说	倾诉|情绪支持|安慰
忘不掉前任|放不下前任|分了还想他|分了还想她	分手|前任|恢复生活
想重新在一起|想和好|要不要复合	复合|信任|修复
